mode,prompt_idx,run,tokens,wall_time_s,tokens_per_sec,ttft_s,avg_decoded_per_iter
draft-target,0,1,200,22.908443,8.73,22.908340,2.857142925262451
draft-target,0,2,200,21.852830,9.15,21.852714,2.857142925262451
draft-target,0,3,200,21.850668,9.15,21.850568,2.857142925262451
draft-target,1,1,200,19.985693,10.01,19.985608,3.125
draft-target,1,2,200,19.985743,10.01,19.985647,3.125
draft-target,1,3,200,19.985396,10.01,19.985334,3.125
draft-target,2,1,200,16.850560,11.87,16.850475,3.7037036418914795
draft-target,2,2,200,16.854095,11.87,16.853988,3.7037036418914795
draft-target,2,3,200,16.856731,11.86,16.856662,3.7037036418914795
