mode,prompt_idx,run,tokens,wall_time_s,tokens_per_sec,ttft_s,avg_decoded_per_iter
eagle3,0,1,200,10.429954,19.18,10.429885,1.7857142686843872
eagle3,0,2,200,10.396834,19.24,10.396716,1.7857142686843872
eagle3,0,3,200,10.417643,19.20,10.417442,1.7857142686843872
eagle3,1,1,200,9.687026,20.65,9.686858,1.9417475461959839
eagle3,1,2,200,9.623411,20.78,9.623258,1.9417475461959839
eagle3,1,3,200,9.661401,20.70,9.661304,1.9417475461959839
eagle3,2,1,200,9.626596,20.78,9.626489,1.9801980257034302
eagle3,2,2,200,9.527786,20.99,9.527682,1.9801980257034302
eagle3,2,3,200,9.539707,20.97,9.539641,1.9801980257034302
