mode,prompt_idx,run,tokens,wall_time_s,tokens_per_sec,ttft_s,avg_decoded_per_iter
baseline-eagle,0,1,200,6.864069,29.14,6.863617,1.0
baseline-eagle,0,2,200,6.594344,30.33,6.594234,1.0
baseline-eagle,0,3,200,6.573729,30.42,6.573662,1.0
baseline-eagle,1,1,200,6.623870,30.19,6.623753,1.0
baseline-eagle,1,2,200,6.587193,30.36,6.587097,1.0
baseline-eagle,1,3,200,6.601500,30.30,6.601430,1.0
baseline-eagle,2,1,200,6.740367,29.67,6.740247,1.0
baseline-eagle,2,2,200,6.631791,30.16,6.631689,1.0
baseline-eagle,2,3,200,6.648437,30.08,6.648364,1.0
