mode,prompt_idx,run,tokens,wall_time_s,tokens_per_sec,ttft_s,avg_decoded_per_iter
eagle3,0,1,200,10.811764,18.50,10.811601,1.7857142686843872
eagle3,0,2,200,10.807652,18.51,10.807514,1.7857142686843872
eagle3,0,3,200,10.825751,18.47,10.825596,1.7857142686843872
eagle3,1,1,200,10.033078,19.93,10.032902,1.9417475461959839
eagle3,1,2,200,10.043175,19.91,10.043041,1.9417475461959839
eagle3,1,3,200,10.044627,19.91,10.044528,1.9417475461959839
eagle3,2,1,200,9.986226,20.03,9.986129,1.9801980257034302
eagle3,2,2,200,9.919394,20.16,9.919331,1.9801980257034302
eagle3,2,3,200,9.909296,20.18,9.909115,1.9801980257034302
